season,game_id,period,team_id,FOUL,FTA,FTM,PERS_FOUL_DRAWN,LOOSE_BALL_FOUL_DRAWN
2024-25,22400063,4,1610612765,6,10,8,2,0
2024-25,22400064,1,1610612737,6,5,5,4,0
2024-25,22400064,1,1610612751,4,4,3,1,1
2024-25,22400064,2,1610612737,5,6,2,1,1
2024-25,22400064,2,1610612751,2,1,0,1,0
2024-25,22400064,3,1610612737,9,14,11,7,0
2024-25,22400064,3,1610612751,6,8,7,4,0
2024-25,22400064,4,1610612737,11,21,15,4,0
2024-25,22400064,4,1610612751,8,12,9,2,1
2024-25,22400065,1,1610612748,7,13,8,2,1
2024-25,22400065,1,1610612753,4,4,1,2,1
2024-25,22400065,2,1610612748,6,8,7,3,0
2024-25,22400065,2,1610612753,6,7,6,4,0
2024-25,22400065,3,1610612748,3,4,4,1,0
2024-25,22400065,3,1610612753,4,8,7,0,0
2024-25,22400065,4,1610612748,5,4,3,2,0
